iter	Passed	Remaining
0	646	645628
1	1194	596169
2	1687	560933
3	2173	541315
4	2586	514730
5	2985	494624
6	3378	479234
7	3789	469934
8	4229	465728
9	4744	469662
10	5278	474571
11	5712	470330
12	6263	475548
13	6905	486363
14	7441	488661
15	7885	484968
16	8301	480041
17	8739	476787
18	9170	473473
19	9606	470715
20	10031	467663
21	10487	466225
22	11060	469811
23	11579	470916
24	12027	469079
25	12499	468240
26	13030	469596
27	13576	471295
28	14053	470553
29	14576	471310
30	15152	473650
31	15594	471746
32	16007	469053
33	16484	468357
34	16931	466824
35	17368	465087
36	17792	463080
37	18205	460878
38	18654	459669
39	19088	458115
40	19572	457799
41	20003	456260
42	20442	454965
43	20850	453023
44	21283	451680
45	21706	450174
46	22107	448259
47	22510	446464
48	22923	444897
49	23313	442954
50	23719	441360
51	24095	439271
52	24477	437367
53	24922	436613
54	25317	434992
55	25738	433878
56	26171	432981
57	26599	432018
58	27050	431424
59	27456	430156
60	27851	428723
61	28207	426758
62	28578	425051
63	28975	423761
64	29365	422417
65	29760	421152
66	30144	419766
67	30519	418295
68	30922	417232
69	31309	415974
70	31731	415185
71	32189	414881
72	32544	413268
73	32938	412176
74	33299	410691
75	33662	409263
76	34069	408389
77	34561	408540
78	34929	407220
79	35289	405829
80	35646	404437
81	36029	403349
82	36425	402439
83	36814	401455
84	37185	400287
85	37573	399326
86	37983	398611
87	38387	397832
88	38796	397124
89	39190	396255
90	39583	395396
91	39967	394463
92	40335	393378
93	40745	392714
94	41133	391854
95	41551	391274
96	41948	390513
97	42314	389465
98	42709	388701
99	43075	387683
100	43427	386547
101	43780	385442
102	44139	384398
103	44520	383560
104	44869	382460
105	45224	381424
106	45594	380522
107	45983	379790
108	46401	379298
109	46781	378501
110	47159	377702
111	47493	376558
112	47848	375590
113	48189	374522
114	48538	373537
115	48901	372660
116	49271	371851
117	49634	370993
118	50006	370216
119	50375	369418
120	50748	368660
121	51108	367810
122	51502	367219
123	51870	366441
124	52270	365893
125	52624	365027
126	52990	364257
127	53358	363507
128	53746	362890
129	54145	362358
130	54549	361856
131	54944	361304
132	55323	360641
133	55722	360114
134	56106	359499
135	56497	358927
136	56883	358323
137	57282	357805
138	57640	357037
139	58034	356499
140	58418	355898
141	58847	355572
142	59198	354778
143	59573	354132
144	59939	353438
145	60312	352789
146	60696	352205
147	61086	351659
148	61494	351218
149	61892	350725
150	62327	350437
151	62723	349930
152	63114	349400
153	63458	348607
154	63819	347916
155	64158	347111
156	64516	346416
157	64878	345747
158	65220	344970
159	65586	344327
160	66038	344140
161	66402	343488
162	66783	342930
163	67141	342258
164	67511	341649
165	67893	341101
166	68225	340310
167	68601	339742
168	68953	339055
169	69318	338434
170	69704	337923
171	70101	337464
172	70469	336869
173	70891	336531
174	71261	335945
175	71647	335438
176	72007	334812
177	72409	334386
178	72774	333787
179	73235	333628
180	73658	333292
181	74054	332837
182	74479	332511
183	74880	332079
184	75258	331543
185	75608	330890
186	75981	330335
187	76378	329891
188	76772	329432
189	77157	328932
190	77535	328408
191	77937	327988
192	78330	327528
193	78737	327127
194	79092	326508
195	79462	325960
196	79819	325355
197	80170	324730
198	80523	324118
199	80871	323486
200	81218	322852
201	81598	322355
202	81975	321845
203	82382	321453
204	82737	320860
205	83084	320239
206	83427	319603
207	83786	319033
208	84140	318445
209	84477	317797
210	84811	317140
211	85187	316641
212	85545	316077
213	85956	315708
214	86345	315260
215	86770	314945
216	87149	314462
217	87519	313945
218	87909	313502
219	88295	313048
220	88663	312529
221	89019	311967
222	89377	311417
223	89719	310813
224	90089	310309
225	90480	309876
226	90828	309297
227	91188	308762
228	91581	308337
229	91956	307853
230	92347	307426
231	92728	306964
232	93096	306457
233	93469	305973
234	93847	305503
235	94236	305070
236	94603	304567
237	94945	303984
238	95300	303446
239	95631	302833
240	95973	302257
241	96299	301633
242	96667	301139
243	97029	300632
244	97536	300571
245	97943	300200
246	98317	299728
247	98676	299214
248	99019	298648
249	99357	298073
250	99700	297512
251	100060	297005
252	100402	296445
253	100738	295870
254	101101	295376
255	101470	294898
256	101872	294517
257	102240	294040
258	102658	293707
259	103059	293322
260	103431	292856
261	103805	292397
262	104184	291954
263	104564	291513
264	104926	291022
265	105303	290573
266	105673	290107
267	106059	289685
268	106429	289220
269	106832	288843
270	107181	288323
271	107559	287880
272	107924	287403
273	108284	286914
274	108644	286425
275	109022	285985
276	109399	285543
277	109781	285117
278	110148	284647
279	110495	284132
280	110849	283633
281	111210	283153
282	111592	282727
283	111940	282215
284	112278	281682
285	112682	281311
286	113070	280902
287	113443	280457
288	113820	280022
289	114173	279528
290	114552	279099
291	114921	278644
292	115297	278209
293	115642	277698
294	115990	277197
295	116353	276732
296	116723	276284
297	117095	275843
298	117474	275417
299	117873	275037
300	118255	274619
301	118651	274234
302	119011	273765
303	119367	273288
304	119730	272829
305	120102	272388
306	120459	271915
307	120837	271492
308	121231	271104
309	121634	270734
310	122086	270474
311	122511	270153
312	122917	269790
313	123308	269394
314	123691	268980
315	124075	268569
316	124476	268194
317	124827	267712
318	125228	267337
319	125616	266934
320	126014	266553
321	126448	266248
322	126859	265894
323	127245	265487
324	127644	265107
325	128054	264751
326	128459	264382
327	128866	264019
328	129399	263912
329	129798	263529
